Id_Siniestro;Nro_Victimas;Fecha;Franja_Hora;Tipo_Calle;Comuna;Longitud;Latitud;Victima;Acusado;Rol;Sexo;Edad;Año;Mes;Semestre
2016-0153;1;25/11/2016;Tarde;Avenida;15;-58,4291709;-34,59485488;Peaton;Moto;Peaton;Femenino;83;2016;11;2
2016-0154;1;26/11/2016;Tarde;Gral Paz;8;-58,49007772;-34,68251141;Moto;Moto;Conductor;Masculino;38;2016;11;2
2016-0155;1;26/11/2016;Tarde;Calle;10;-58,52756365;-34,62772274;Peaton;Auto;Peaton;Femenino;29;2016;11;2
2016-0156;1;26/11/2016;Noche;Avenida;3;-58,40638983;-34,61943202;Moto;Pasajeros;Conductor;Masculino;23;2016;11;2
2016-0157;1;3/12/2016;Mañana;Avenida;11;-58,47576807;-34,61740997;Moto;Moto;Conductor;Masculino;23;2016;12;2
2016-0159;1;4/12/2016;Mañana;Avenida;8;-58,44451316;-34,68475866;Auto;NaN;Conductor;Masculino;23;2016;12;2
2016-0160;1;6/12/2016;Madrugada;Autopista;9;-58,51927194;-34,63635787;Cargas;Objeto Fijo;Conductor;Masculino;29;2016;12;2
2016-0161;1;6/12/2016;Mañana;Avenida;14;-58,42525456;-34,57866344;Peaton;Pasajeros;Peaton;Masculino;50;2016;12;2
2016-0162;1;7/12/2016;Madrugada;Avenida;15;-58,45396573;-34,58518167;Peaton;Auto;Peaton;Masculino;38;2016;12;2
2016-0163;1;10/12/2016;Mañana;Gral Paz;11;-58,52340614;-34,59798754;Moto;Auto;Conductor;Masculino;23;2016;12;2
2016-0164;1;11/12/2016;Mañana;Avenida;4;-58,42323628;-34,64119105;Auto;Auto;Conductor;Masculino;29;2016;12;2
2016-0165;1;12/12/2016;Mañana;Avenida;4;-58,36926144;-34,62841919;Bicicleta;Pasajeros;Ciclista;Masculino;37;2016;12;2
2016-0168;1;13/12/2016;Mañana;Avenida;4;-58,42323628;-34,64119105;Moto;Auto;Conductor;Masculino;43;2016;12;2
2016-0169;1;15/12/2016;Tarde;Avenida;12;-58,47935434;-34,55676497;Moto;Pasajeros;Conductor;Masculino;24;2016;12;2
2016-0170;1;19/12/2016;Tarde;Gral Paz;12;-58,50598256;-34,5637998;Moto;Auto;Pasajero_Acompañante;Masculino;21;2016;12;2
2016-0171;1;25/12/2016;Noche;Autopista;1;-58,36607137;-34,62150748;Moto;Moto;Conductor;NaN;;2016;12;2
2016-0172;1;26/12/2016;Mañana;Avenida;5;-58,41918902;-34,63174259;Moto;Cargas;Conductor;Masculino;38;2016;12;2
2016-0173;1;26/12/2016;Noche;Avenida;7;-58,46749188;-34,63551751;Moto;Cargas;Conductor;Masculino;35;2016;12;2
2016-0174;1;27/12/2016;Madrugada;Autopista;7;-58,42032;-34,62794;NaN;NaN;NaN;NaN;;2016;12;2
2016-0175;1;27/12/2016;Mañana;Calle;7;-58,46064174;-34,62960517;Peaton;NaN;NaN;Femenino;;2016;12;2
2016-0176;1;28/12/2016;Madrugada;Avenida;1;-58,36956186;-34,61232875;Moto;Pasajeros;NaN;Masculino;28;2016;12;2
2016-0177;1;29/12/2016;Madrugada;Calle;14;-58,40966671;-34,58788235;Peaton;Auto;Peaton;Femenino;27;2016;12;2
2016-0178;1;30/12/2016;Tarde;Calle;3;-58,40288226;-34,61544091;Peaton;Multiple;Peaton;Femenino;7;2016;12;2
2017-0001;1;2/01/2017;Madrugada;Avenida;11;-58,4659423;-34,61028571;Moto;Cargas;Conductor;Masculino;18;2017;1;1
2017-0003;1;5/01/2017;Madrugada;Avenida;4;-58,38957669;-34,64410277;Cargas;Cargas;Pasajero_Acompañante;Masculino;33;2017;1;1
2017-0007;1;11/01/2017;Tarde;Calle;1;-58,3816166;-34,61529543;Peaton;Multiple;Peaton;Masculino;48;2017;1;1
2017-0008;1;16/01/2017;Madrugada;Calle;14;-58,43917004;-34,58494351;Moto;Pasajeros;Conductor;Masculino;29;2017;1;1
