Id_Siniestro,Nro_Victimas,Fecha,Franja_Hora,Tipo_Calle,Comuna,Longitud,Latitud,Victima,Acusado,Rol,Sexo,Edad
2017-0029,1,2017-03-07,2,Calle,9,-58.48501341,-34.64742455,,Auto,,Masculino,34
2017-0030,1,2017-03-07,8,Avenida,9,-58.47010988,-34.65872088,Auto,Pasajeros,Conductor,Femenino,27
2017-0031,1,2017-03-11,1,Calle,3,-58.40997560,-34.62873635,Auto,Objeto Fijo,Pasajero_Acompañante,Masculino,70
2017-0032,1,2017-03-12,5,Gral Paz,8,-58.48892175,-34.68359163,Auto,Auto,Pasajero_Acompañante,Femenino,40
2017-0033,1,2017-03-12,7,Gral Paz,11,-58.52466448,-34.60325478,Auto,Auto,Conductor,Masculino,28
2017-0034,1,2017-03-13,7,Calle,14,-58.42554218,-34.57929036,Peaton,Auto,Peaton,Masculino,43
2017-0035,3,2017-03-23,5,Avenida,1,-58.35881506,-34.61113641,Auto,Objeto Fijo,Conductor,Masculino,28
2017-0035,3,2017-03-23,5,Avenida,1,-58.35881506,-34.61113641,Auto,Objeto Fijo,Pasajero_Acompañante,Masculino,32
2017-0035,3,2017-03-23,5,Avenida,1,-58.35881506,-34.61113641,Auto,Objeto Fijo,Pasajero_Acompañante,Masculino,30
2017-0036,2,2017-03-29,18,Gral Paz,12,-58.51452347,-34.58159762,Moto,Pasajeros,Pasajero_Acompañante,Femenino,
2017-0036,2,2017-03-29,18,Gral Paz,12,-58.51452347,-34.58159762,Moto,Pasajeros,Conductor,Masculino,20
2017-0037,1,2017-03-31,3,Avenida,1,-58.38896772,-34.61799615,Moto,Cargas,Conductor,Masculino,41
2017-0038,1,2017-04-01,19,Avenida,7,-58.44516857,-34.64363363,Moto,Auto,Conductor,Femenino,40
2017-0040,1,2017-04-03,9,Avenida,13,-58.43834197,-34.54560369,Auto,Multiple,Conductor,Masculino,43
2017-0041,1,2017-04-03,23,Calle,7,-58.45485084,-34.63531854,Moto,Auto,Conductor,Masculino,17
2017-0042,1,2017-04-10,9,Gral Paz,14,-58.42346,-34.55706,Moto,Cargas,Conductor,Masculino,
2017-0045,1,2017-04-14,6,Calle,10,-58.52449285,-34.62454175,Moto,Objeto Fijo,Conductor,Masculino,21
2017-0047,1,2017-04-23,6,Avenida,8,-58.46713742,-34.67198790,Moto,Auto,Conductor,Masculino,37
2017-0049,1,2017-04-27,18,Avenida,8,-58.43850413,-34.65554754,Peaton,Pasajeros,Peaton,Masculino,22
2017-0050,2,2017-04-28,11,Autopista,9,-58.49258,-34.64043,Moto,Cargas,Conductor,Masculino,46
2017-0050,2,2017-04-28,11,Autopista,9,-58.49258,-34.64043,Moto,Cargas,Pasajero_Acompañante,Masculino,16
2017-0051,1,2017-05-01,3,Autopista,7,-58.46782,-34.65168,Auto,Auto,Conductor,Masculino,33
2017-0052,1,2017-05-05,3,Gral Paz,8,-58.49413799,-34.68095739,Peaton,Cargas,Peaton,Femenino,47
2017-0053,1,2017-05-05,20,Calle,4,-58.37547846,-34.65326075,Moto,Cargas,Conductor,Masculino,28
